--- start concat csv ---
����,����,���,����,����,����,����,ȣ��,�������,�߰��,ī��,�ߺ�����,��������,��ä����

202001,7.42,8.48,8.58,8.44,7.65,8.39,8.79,8.99,7.52,6.3,5.51,7.89,7.02

202002,3.74,3.9,3.3,3.59,3.85,3.68,3.03,3.35,4.27,7.25,4.9,5.2,6.3

202003,7.97,7.45,7.62,8.13,8.02,8.45,7.17,7.79,8.08,6.1,5.25,7.15,7.45

202004,4.24,3.9,3.5,3.95,3.48,3.13,3.42,4.52,4.56,7.4,5.4,5.3,6.15

202005,7.74,7.28,8.49,8.33,7.23,7.63,7.05,8.39,7.21,6.55,5.6,7.55,6.6

202006,3.93,3.35,3.07,4.87,4.22,4.08,3.36,3.31,4.52,7.5,5.85,5.1,7.2

202007,8.49,8.0,8.14,8.47,7.58,8.58,8.17,8.63,8.08,6.8,5.99,5.4,6.05

202008,7.07,7.84,8.52,7.43,8.16,7.64,7.84,7.45,8.93,7.66,5.8,7.3,6.88

202009,3.5,4.83,4.75,3.06,3.31,4.25,4.79,3.45,3.68,7.05,5.5,5.05,7.15

202010,8.43,7.72,7.68,7.52,7.96,8.77,8.63,8.07,8.27,7.55,5.05,5.25,6.25

202011,4.79,4.16,4.64,4.19,4.07,4.23,3.68,4.19,4.86,6.45,4.5,7.0,7.35

202012,4.02,4.26,3.22,3.1,3.1,3.47,3.52,4.16,3.21,6.0,4.01,5.55,6.45

202101,4.06,3.03,4.69,3.99,3.67,3.05,3.76,3.18,4.87,7.6,4.25,5.35,6.0

202102,3.21,4.33,3.25,4.19,3.27,4.74,4.18,4.75,4.38,6.2,4.7,7.4,7.49

202103,3.89,3.36,3.79,3.67,3.13,3.04,3.54,3.53,3.14,7.5,5.1,5.35,6.2

202104,4.07,4.92,4.59,4.54,4.98,4.75,4.25,3.26,3.6,6.7,5.3,5.5,6.7

202105,7.48,7.3,7.3,7.21,7.64,8.06,7.82,8.78,8.42,7.0,5.5,7.2,7.25

202106,7.54,7.83,7.46,7.15,8.62,8.88,8.1,8.91,7.13,7.65,5.75,5.2,6.05

202107,3.75,3.17,4.44,4.46,3.51,4.6,3.87,4.72,4.16,6.95,5.9,5.6,6.9

202108,3.04,4.99,4.44,3.99,4.36,5.0,3.59,4.62,3.69,7.45,5.7,7.1,7.1

202109,3.64,4.0,4.28,4.38,4.52,3.7,4.9,4.31,4.24,5.8,5.4,5.15,6.1

202110,3.42,4.19,4.39,3.87,4.19,4.53,4.53,4.1,3.09,7.3,4.9,5.35,7.3

202111,3.65,3.13,4.09,3.49,3.94,3.8,3.28,3.17,4.74,6.35,4.4,7.05,6.5

202112,3.24,4.5,3.5,4.64,3.82,3.96,4.74,3.82,4.95,7.45,4.1,5.65,6.05

202201,4.78,3.42,3.69,4.6,3.7,4.26,3.97,3.75,4.94,6.5,4.3,5.45,7.45

202202,4.19,4.8,3.36,4.39,4.86,4.75,4.79,3.52,4.5,7.0,4.75,7.0,6.25

202203,4.36,3.41,4.82,3.54,4.66,4.97,4.6,4.45,3.26,7.6,5.15,5.45,6.75

202204,4.58,3.38,4.17,4.18,4.93,4.54,3.85,3.99,4.52,6.6,5.35,5.6,7.3

202205,8.0,7.07,7.8,7.72,7.25,7.84,7.04,7.16,7.05,7.15,5.55,7.3,6.1

202206,3.17,3.94,3.92,3.18,4.46,3.84,3.54,3.44,3.04,7.55,5.8,5.3,6.95

202207,4.07,4.13,4.89,4.83,4.88,4.48,4.08,4.37,3.65,6.85,5.95,5.9,7.05

202208,4.17,3.13,3.31,3.27,3.36,3.48,4.27,3.15,3.98,7.25,5.75,7.0,6.15

202209,4.49,4.55,4.17,4.9,3.13,3.22,3.52,4.7,4.54,7.65,5.45,5.25,7.25

202210,3.86,3.91,4.01,3.89,4.48,3.71,3.28,3.99,4.37,6.05,5.0,6.0,6.55

202211,3.26,4.05,4.22,3.37,4.15,3.57,4.67,3.96,3.89,7.4,4.45,7.45,6.0

202212,3.57,3.88,3.04,4.08,4.68,3.59,4.97,4.18,3.55,6.2,4.15,5.45,7.4

202301,3.73,3.8,4.74,4.75,3.28,3.47,4.05,4.65,4.99,7.55,4.35,5.55,6.3

202302,4.29,4.12,4.86,4.46,4.59,3.08,3.34,3.7,3.85,6.4,4.8,7.1,6.8

202303,4.14,3.31,4.13,4.61,3.4,3.04,3.54,4.36,3.9,7.1,5.2,5.55,7.35

202304,3.71,3.36,4.39,4.32,3.33,4.98,3.04,4.13,3.33,7.6,5.4,5.7,6.2

202305,8.97,8.72,8.84,8.38,7.33,7.86,8.83,7.53,8.59,6.9,5.6,7.2,7.0

202306,4.21,4.89,4.41,4.7,4.63,3.77,3.24,4.76,4.39,7.5,5.85,5.4,7.0

202307,7.47,7.75,7.31,7.5,8.33,8.36,8.15,8.59,7.44,6.75,5.99,6.0,6.25

202308,3.2,3.54,4.15,3.98,4.05,3.44,3.55,4.32,3.16,7.3,5.8,7.15,7.2

202309,7.31,8.29,8.21,7.44,7.72,8.9,8.11,8.7,8.36,6.0,5.5,5.35,6.6

202310,3.49,3.82,3.85,4.98,4.75,4.57,4.3,4.73,4.31,7.5,5.05,6.1,6.05

202311,3.32,3.05,4.47,4.89,3.78,3.18,4.66,4.42,3.55,6.45,4.5,7.35,7.1

202312,7.37,7.31,8.87,7.08,8.63,7.84,7.41,8.67,8.9,7.0,4.2,5.55,6.4

202401,3.57,4.43,4.85,4.41,3.88,4.76,3.02,4.39,3.3,7.5,4.4,6.2,6.1

202402,7.35,8.32,7.9,8.85,7.75,8.89,7.27,8.36,7.86,6.6,4.85,7.0,7.4

202403,4.79,3.05,3.23,3.36,3.93,3.93,4.8,4.24,4.89,7.2,5.25,5.65,6.45

202404,3.16,3.44,4.97,4.14,3.6,4.23,4.75,4.51,3.84,7.65,5.45,6.3,6.9

202405,4.05,3.46,4.68,4.83,4.5,3.33,4.19,3.32,4.28,6.8,5.65,7.4,7.05

202406,7.82,8.34,7.25,7.07,8.01,8.98,8.2,8.76,7.8,7.4,5.9,5.5,6.3

202407,4.96,3.04,4.84,4.39,3.46,3.46,4.33,4.74,3.55,6.65,5.99,6.1,7.15

202408,7.22,7.21,8.74,7.59,8.8,8.89,7.35,7.06,8.97,7.25,5.85,7.5,6.75

202409,7.8,8.6,8.04,8.85,7.77,8.3,8.83,8.65,7.82,7.66,5.55,5.45,6.1

202410,4.94,3.36,4.18,4.94,4.09,4.22,3.84,3.26,4.79,6.15,5.1,6.0,7.3

202411,4.73,4.31,3.8,4.89,4.81,4.03,3.77,3.67,3.46,7.55,4.55,7.6,6.55

202412,4.63,3.48,3.11,3.95,4.25,3.46,4.04,4.49,3.43,6.3,4.25,5.65,6.05

202501,3.52,3.2,3.67,4.72,3.23,3.35,3.09,3.32,3.06,7.0,4.45,6.05,7.35

202502,3.34,3.49,4.61,4.69,4.88,3.44,3.33,4.64,4.3,7.6,4.9,7.05,6.5

202503,4.34,4.44,3.01,3.64,4.26,3.37,4.48,4.66,3.74,6.5,5.3,5.75,6.95

202504,4.86,4.71,3.67,4.66,3.67,4.56,3.17,4.01,4.73,7.35,5.5,6.15,7.1

202505,4.11,4.66,3.8,3.07,3.28,3.7,4.21,3.01,3.95,7.65,5.7,7.1,6.35

202506,4.14,3.79,4.07,4.19,4.59,3.12,3.49,3.57,4.94,6.7,5.95,5.6,7.2

202507,3.56,4.34,4.84,3.46,4.24,4.94,3.78,4.23,3.37,7.45,5.99,6.2,6.8

202508,4.54,3.41,3.69,3.24,4.07,4.77,3.58,4.96,4.74,7.0,5.9,7.2,6.15

202509,7.37,7.59,7.69,7.15,8.79,8.86,7.71,8.26,8.55,7.6,5.6,5.55,7.4

202510,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,6.1,5.15,6.0,6.6

202511,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,7.4,4.6,7.3,6.1

202512,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,6.45,4.3,5.75,7.3

202601,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,7.1,4.5,6.1,6.65

202602,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,7.5,4.95,7.15,7.0

202603,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,6.3,5.35,5.85,6.4

202604,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,7.25,5.55,6.25,7.25

202605,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,7.6,5.75,7.3,6.85

202606,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,6.6,5.99,5.7,6.2

202607,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,7.35,5.95,6.3,7.45

202608,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,6.9,5.9,7.4,6.65

202609,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,7.55,5.65,5.65,6.15

202610,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,6.0,5.2,6.1,7.15

202611,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,7.3,4.65,7.5,6.7

202612,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,6.25,4.35,5.85,6.25

202701,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,7.05,4.55,6.15,7.25

202702,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,7.4,5.0,7.2,6.8

202703,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,6.4,5.4,5.95,6.5

202704,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,7.15,5.6,6.2,7.35

202705,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,7.5,5.8,7.4,6.9

202706,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,6.5,5.99,5.8,6.3

202707,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,7.25,5.95,6.4,7.49

202708,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,6.8,5.9,7.5,6.75

202709,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,7.4,5.7,5.75,6.25

202710,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,6.05,5.25,6.2,7.2

202711,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,7.2,4.7,7.6,6.85

202712,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,6.35,4.4,5.95,6.35


