연월,평균기온,강수량,상대습도,예상_로스율_%,품목명,예상_기후_분류
202510,14.93,87.85,65.16,6.45,감자,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,6.45,당근,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,6.45,대파,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,6.45,배추,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,6.45,양파,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,6.45,풋고추,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,6.45,호박,이상기후 (높은 로스율 예상)
202511,8.6,64.2,57.76,3.76,감자,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.76,당근,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.76,대파,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.76,배추,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.76,양파,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.76,풋고추,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.76,호박,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.74,감자,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.74,당근,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.74,대파,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.74,배추,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.74,양파,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.74,풋고추,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.74,호박,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,3.7,감자,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,3.7,당근,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,3.7,대파,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,3.7,배추,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,3.7,양파,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,3.7,풋고추,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,3.7,호박,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.84,감자,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.84,당근,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.84,대파,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.84,배추,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.84,양파,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.84,풋고추,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.84,호박,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.86,감자,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.86,당근,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.86,대파,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.86,배추,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.86,양파,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.86,풋고추,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.86,호박,정상기후 (일반 로스율 예상)
202604,13.2,88.4,58.07,5.27,감자,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.27,당근,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.27,대파,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.27,배추,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.27,양파,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.27,풋고추,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.27,호박,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.55,감자,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.55,당근,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.55,대파,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.55,배추,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.55,양파,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.55,풋고추,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.55,호박,이상기후 (높은 로스율 예상)
202606,22.4,150.7,72.39,4.18,감자,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,4.18,당근,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,4.18,대파,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,4.18,배추,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,4.18,양파,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,4.18,풋고추,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,4.18,호박,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.59,감자,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.59,당근,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.59,대파,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.59,배추,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.59,양파,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.59,풋고추,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.59,호박,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,3.94,감자,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,3.94,당근,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,3.94,대파,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,3.94,배추,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,3.94,양파,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,3.94,풋고추,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,3.94,호박,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.04,감자,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.04,당근,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.04,대파,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.04,배추,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.04,양파,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.04,풋고추,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.04,호박,정상기후 (일반 로스율 예상)
202610,15.4,105.7,67.14,6.37,감자,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,6.37,당근,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,6.37,대파,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,6.37,배추,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,6.37,양파,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,6.37,풋고추,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,6.37,호박,이상기후 (높은 로스율 예상)
202611,8.5,61.1,63.18,3.87,감자,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,3.87,당근,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,3.87,대파,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,3.87,배추,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,3.87,양파,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,3.87,풋고추,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,3.87,호박,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.85,감자,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.85,당근,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.85,대파,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.85,배추,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.85,양파,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.85,풋고추,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.85,호박,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.66,감자,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.66,당근,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.66,대파,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.66,배추,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.66,양파,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.66,풋고추,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.66,호박,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.77,감자,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.77,당근,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.77,대파,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.77,배추,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.77,양파,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.77,풋고추,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.77,호박,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.82,감자,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.82,당근,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.82,대파,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.82,배추,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.82,양파,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.82,풋고추,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.82,호박,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.12,감자,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.12,당근,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.12,대파,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.12,배추,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.12,양파,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.12,풋고추,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.12,호박,정상기후 (일반 로스율 예상)
202705,17.8,95.5,61.47,5.54,감자,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.54,당근,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.54,대파,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.54,배추,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.54,양파,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.54,풋고추,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.54,호박,이상기후 (높은 로스율 예상)
202706,22.1,145.2,71.72,4.23,감자,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.23,당근,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.23,대파,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.23,배추,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.23,양파,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.23,풋고추,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.23,호박,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.73,감자,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.73,당근,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.73,대파,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.73,배추,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.73,양파,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.73,풋고추,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.73,호박,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.2,감자,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.2,당근,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.2,대파,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.2,배추,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.2,양파,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.2,풋고추,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.2,호박,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.04,감자,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.04,당근,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.04,대파,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.04,배추,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.04,양파,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.04,풋고추,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.04,호박,정상기후 (일반 로스율 예상)
202710,15.3,98.2,66.42,6.58,감자,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,6.58,당근,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,6.58,대파,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,6.58,배추,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,6.58,양파,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,6.58,풋고추,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,6.58,호박,이상기후 (높은 로스율 예상)
