연월,평균기온,강수량,상대습도,예상_로스율_%,품목명,예상_기후_분류
202510,14.93,87.85,65.16,7.33,감자,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,닭고기,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,당근,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,대파,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,돼지고기,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,배추,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,양파,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,풋고추,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,호박,이상기후 (높은 로스율 예상)
202511,8.6,64.2,57.76,3.83,감자,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,닭고기,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,당근,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,대파,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,돼지고기,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,배추,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,양파,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,풋고추,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,호박,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,감자,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,닭고기,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,당근,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,대파,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,돼지고기,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,배추,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,양파,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,풋고추,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,호박,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,감자,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,닭고기,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,당근,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,대파,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,돼지고기,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,배추,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,양파,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,풋고추,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,호박,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,감자,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,닭고기,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,당근,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,대파,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,돼지고기,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,배추,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,양파,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,풋고추,정상기후 (일반 로스율 예상)
