10:09:41 - cmdstanpy - INFO - Chain [1] start processing
10:09:41 - cmdstanpy - INFO - Chain [1] done processing
10:09:41 - cmdstanpy - INFO - Chain [1] start processing
10:09:42 - cmdstanpy - INFO - Chain [1] done processing
10:09:42 - cmdstanpy - INFO - Chain [1] start processing
10:09:42 - cmdstanpy - INFO - Chain [1] done processing
10:09:42 - cmdstanpy - INFO - Chain [1] start processing
10:09:42 - cmdstanpy - INFO - Chain [1] done processing
--- 예측 과정 시작 (Prophet) ---
--- 예측 과정 종료 ---
ds,제육볶음,닭볶음탕,카레,야채수프

2025-11-01,1620,2020,1231,1942

2025-12-01,1719,2080,1251,1928

2026-01-01,1618,2050,1399,1906

2026-02-01,1529,2020,1370,1886

2026-03-01,1392,1960,1310,1830

2026-04-01,1250,1900,1329,1943

2026-05-01,1199,1930,1370,2061

2026-06-01,1049,1960,1470,2383

2026-07-01,1120,1989,1500,2447

2026-08-01,1198,1999,1400,2208

2026-09-01,1348,2039,1320,2089

2026-10-01,1498,2079,1300,2074

2026-11-01,1648,2119,1281,2063

2026-12-01,1748,2180,1302,2049

2027-01-01,1647,2150,1447,2026

2027-02-01,1560,2120,1419,2002

2027-03-01,1424,2060,1361,1955

2027-04-01,1280,2000,1379,2072

2027-05-01,1229,2029,1420,2190

2027-06-01,1078,2059,1520,2496

2027-07-01,1150,2089,1550,2562

2027-08-01,1227,2099,1450,2329

2027-09-01,1376,2139,1370,2220

2027-10-01,1527,2179,1351,2204

2027-11-01,1677,2219,1332,2185

2027-12-01,1777,2279,1353,2169


