연도,연월,품목명,평균기온,강수량,상대습도,가격,최종_생산량_톤,계절,기후_분류,평균 소비량,로스율_가상_%,로스량_가상
2020,202001,감자,2.5,83.7,55.5,289.0,40066.9,겨울,이상기후,37110.68,8.26,3307.57
2020,202002,감자,3.4,58.7,58.0,339.0,40586.02,겨울,정상기후,39228.42,4.17,1691.88
2020,202003,감자,7.7,29.2,46.3,450.0,45853.75,봄,이상기후,43617.9,8.8,4036.19
2020,202004,감자,10.6,41.0,50.0,463.0,47530.92,봄,정상기후,44769.66,3.09,1469.13
2020,202005,감자,17.6,103.5,67.3,467.0,64573.2,봄,이상기후,58821.1,7.56,4882.98
2020,202006,감자,22.7,182.9,67.4,384.0,93795.84,여름,정상기후,85440.47,4.9,4596.77
2020,202007,감자,22.5,427.7,76.3,290.0,47978.61,여름,이상기후,43375.82,8.78,4212.78
2020,202008,감자,26.4,420.8,85.1,268.0,42261.93,여름,이상기후,40598.18,7.91,3343.47
2020,202009,감자,20.1,219.1,70.8,297.0,36169.2,가을,정상기후,34074.21,4.24,1533.67
2020,202010,감자,13.7,10.5,60.4,292.0,40747.41,가을,이상기후,38692.32,7.55,3078.37
2020,202011,감자,8.5,40.8,63.7,298.0,35681.45,가을,정상기후,32164.72,3.38,1204.69
2020,202012,감자,0.4,7.8,57.8,298.0,39149.78,겨울,정상기후,37892.83,3.93,1537.57
2021,202101,감자,-1.1,19.9,57.5,349.0,37307.71,겨울,정상기후,35750.9,3.71,1382.89
2021,202102,감자,3.4,20.1,55.4,494.0,35733.87,겨울,정상기후,32691.62,4.17,1489.14
2021,202103,감자,8.7,110.7,62.8,506.0,44641.3,봄,정상기후,40745.35,3.16,1408.64
2021,202104,감자,13.2,76.3,54.2,463.0,47048.35,봄,정상기후,42947.54,4.95,2328.32
2021,202105,감자,16.6,143.8,68.1,389.0,65824.87,봄,이상기후,60644.25,8.97,5906.08
2021,202106,감자,21.7,91.6,72.5,306.0,93021.51,여름,이상기후,87136.31,8.4,7810.39
2021,202107,감자,26.0,233.8,70.9,274.0,45191.22,여름,정상기후,42038.51,4.07,1840.27
2021,202108,감자,24.8,288.4,74.2,282.0,39713.63,여름,정상기후,36551.87,3.62,1437.26
2021,202109,감자,21.3,145.8,70.9,311.0,34329.59,가을,정상기후,32366.96,4.63,1588.63
2021,202110,감자,15.1,53.9,69.7,312.0,40031.2,가을,정상기후,36418.97,4.37,1749.15
2021,202111,감자,8.3,58.0,67.8,317.0,34818.75,가을,정상기후,32048.92,3.33,1157.8
2021,202112,감자,1.9,7.2,61.5,348.0,37231.02,겨울,정상기후,34462.72,4.82,1795.23
2022,202201,감자,-0.8,2.6,55.21,387.0,33097.13,겨울,정상기후,30844.04,4.65,1537.39
2022,202202,감자,-0.1,3.5,54.7,483.0,32836.91,겨울,정상기후,31358.01,4.9,1608.88
2022,202203,감자,7.7,89.4,61.93,513.0,40473.97,봄,정상기후,36992.28,4.45,1801.67
2022,202204,감자,13.8,59.4,55.03,565.0,40601.6,봄,정상기후,38002.95,4.23,1716.16
2022,202205,감자,18.0,5.8,55.34,580.0,54523.04,봄,이상기후,51331.75,7.84,4272.69
2022,202206,감자,22.4,184.7,73.38,493.0,81948.8,여름,정상기후,74020.38,4.87,3987.18
2022,202207,감자,25.9,178.4,77.23,431.0,37310.59,여름,정상기후,35166.28,4.73,1765.58
2022,202208,감자,25.3,311.5,80.17,413.0,33685.47,여름,정상기후,30719.02,3.09,1041.03
2022,202209,감자,21.0,150.8,68.09,414.0,29203.41,가을,정상기후,26416.05,3.05,891.5
2022,202210,감자,14.0,77.6,68.89,418.0,34571.18,가을,정상기후,33410.35,3.75,1297.43
2022,202211,감자,9.6,61.6,64.39,420.0,29593.94,가을,정상기후,28634.93,4.62,1367.57
2022,202212,감자,-1.4,15.2,58.92,415.0,32754.97,겨울,정상기후,31333.01,4.97,1629.41
2023,202301,감자,-0.6,40.5,63.31,443.0,36539.89,겨울,정상기후,33665.04,3.3,1206.12
2023,202302,감자,2.5,15.2,58.9,493.0,36999.27,겨울,정상기후,33552.31,4.19,1549.63
2023,202303,감자,9.4,28.7,51.24,606.0,42749.7,봄,정상기후,40522.28,3.76,1608.15
2023,202304,감자,13.1,66.3,59.93,670.0,43478.94,봄,정상기후,40470.66,4.94,2147.79
2023,202305,감자,17.9,193.4,62.49,631.0,62730.22,봄,이상기후,56993.08,8.68,5447.64
2023,202306,감자,22.3,210.0,72.43,515.0,92558.83,여름,정상기후,86511.26,4.68,4328.66
2023,202307,감자,25.5,506.1,81.07,389.0,47232.03,여름,이상기후,42622.52,7.94,3748.99
2023,202308,감자,26.4,299.6,76.35,346.0,39629.28,여름,정상기후,38188.85,3.83,1517.66
2023,202309,감자,22.6,197.3,73.48,339.0,35437.52,가을,이상기후,32535.7,7.55,2674.4
2023,202310,감자,14.7,17.0,66.48,370.0,39589.43,가을,정상기후,37466.51,3.11,1232.32
2023,202311,감자,7.9,63.4,64.52,379.0,34599.5,가을,정상기후,31894.5,4.73,1636.36
2023,202312,감자,2.4,102.9,69.35,386.0,38748.37,겨울,이상기후,36284.16,8.63,3342.36
2024,202401,감자,0.9,31.9,66.56,450.0,35425.66,겨울,정상기후,33238.82,5.0,1771.08
2024,202402,감자,4.1,103.3,72.95,525.0,36400.54,겨울,이상기후,33231.5,8.99,3273.6
2024,202403,감자,6.9,64.7,57.19,543.0,43835.05,봄,정상기후,42426.67,4.11,1802.0
2024,202404,감자,14.9,80.4,56.24,563.0,45232.6,봄,정상기후,43163.63,4.54,2052.64
2024,202405,감자,17.7,117.6,63.24,524.0,63066.0,봄,정상기후,60906.93,4.89,3083.63
2024,202406,감자,22.7,130.5,60.5,374.0,93004.43,여름,이상기후,89529.59,8.7,8090.73
2024,202407,감자,26.2,380.8,80.99,314.0,46525.03,여름,정상기후,43819.74,3.49,1625.91
2024,202408,감자,27.9,87.3,72.57,311.0,37075.82,여름,이상기후,35760.79,7.9,2929.39
2024,202409,감자,24.7,241.0,71.8,305.0,35936.89,가을,이상기후,32565.81,7.26,2608.41
2024,202410,감자,16.1,115.8,69.64,324.0,40955.29,가을,정상기후,37421.62,4.91,2010.13
2024,202411,감자,9.7,59.6,62.38,330.0,34932.26,가을,정상기후,31549.63,4.21,1471.47
2024,202412,감자,1.8,6.5,56.25,352.0,37610.44,겨울,정상기후,34705.9,3.46,1300.3
2025,202501,감자,-0.2,16.9,61.74,383.0,43799.92,겨울,정상기후,40611.61,4.34,1902.41
2025,202502,감자,-0.5,15.7,62.29,490.0,43146.8,겨울,정상기후,39651.67,4.24,1827.81
